account_id,t,h,action,regime
1,0,1.3100677732941295,stay,0
1,1,1.2768594319340947,stay,0
1,2,1.224782454497778,deleverage,0
1,3,1.5,stay,0
1,4,1.4251365662956788,stay,0
1,5,1.4334824184271977,stay,0
1,6,1.3544857107435049,deleverage,0
1,7,1.5,stay,0
1,8,1.4204911406502851,stay,0
1,9,1.261268569011341,stay,0
1,10,1.385937843363034,stay,0
1,11,1.325916492183224,stay,0
1,12,1.387975350676898,stay,0
1,13,1.492643532517081,stay,0
2,0,1.4381770886821703,deleverage,0
2,1,1.5,stay,0
2,2,1.5518121553046793,stay,0
2,3,1.6307616931383209,deleverage,0
2,4,1.6307616931383209,stay,0
2,5,1.7570200151154574,deleverage,0
2,6,1.7570200151154574,stay,0
2,7,1.9192460607462438,stay,0
2,8,1.9834898906416352,stay,0
2,9,2.0,stay,0
2,10,1.920524551336413,stay,0
2,11,1.9540004823804682,stay,0
2,12,2.0,stay,0
2,13,1.9203254729263457,stay,0
3,0,1.2206713894599217,deleverage,0
3,1,1.5,stay,0
3,2,1.3642554197048136,deleverage,0
3,3,1.5,stay,0
3,4,1.4491810098579159,deleverage,0
3,5,1.5,stay,0
3,6,1.427299691178638,stay,0
3,7,1.443583130950402,stay,0
3,8,1.410112512832968,deleverage,0
3,9,1.5,stay,0
3,10,1.4953051888308133,stay,0
3,11,1.6068521389982078,stay,0
3,12,1.6668074664654018,stay,0
3,13,1.6591768993364455,stay,0
4,0,1.4409938412546452,deleverage,0
4,1,1.5,stay,0
4,2,1.5619008267872734,stay,0
4,3,1.609835300196296,stay,0
4,4,1.6432882037668692,stay,0
4,5,1.6329794566042513,stay,0
4,6,1.7288182150508915,stay,0
4,7,1.8867667586378953,deleverage,0
4,8,1.8867667586378953,stay,0
4,9,1.8984420684377916,stay,0
4,10,1.8172412970777245,deleverage,0
4,11,1.8172412970777245,deleverage,0
4,12,1.8172412970777245,stay,0
4,13,1.988900318449027,stay,0
5,0,1.477576597628281,stay,0
5,1,1.54452026194831,deleverage,0
5,2,1.54452026194831,stay,0
5,3,1.4005885750656253,stay,0
5,4,1.3712792702307537,stay,0
5,5,1.2729057754749875,stay,0
5,6,1.4735882512347012,stay,0
5,7,1.5086610171417256,stay,0
5,8,1.501295037513816,stay,0
5,9,1.409968460971689,deleverage,0
5,10,1.5,stay,0
5,11,1.385690740115773,stay,0
5,12,1.3323996288211015,stay,0
5,13,1.234526170630831,deleverage,0
6,0,1.6275847375922528,stay,0
6,1,1.5522734094453454,deleverage,0
6,2,1.5522734094453454,stay,0
6,3,1.47219105581361,deleverage,0
6,4,1.5,stay,0
6,5,1.4916098467065821,stay,0
6,6,1.5024025993127863,stay,0
6,7,1.371744882483437,stay,0
6,8,1.287056160421974,stay,0
6,9,1.3122569984199532,deleverage,0
6,10,1.5,stay,0
6,11,1.4851047732859437,stay,0
6,12,1.513020572939692,deleverage,0
6,13,1.513020572939692,stay,0
7,0,1.3652706008866122,stay,0
7,1,1.4586769628466494,stay,0
7,2,1.5136257812184628,deleverage,0
7,3,1.5136257812184628,stay,0
7,4,1.401333615704861,stay,0
7,5,1.3636683366932574,stay,0
7,6,1.4279386877582332,stay,0
7,7,1.2990087974084352,deleverage,0
